"originalorder","field","topic","description","r","ci_lower","ci_upper","k","n","reference","year"
1,"Health communication","Health behavior is associated with ...","perceived susceptibility",0.05,NA,NA,18,2702,"Carpenter, 2010",2010
2,"Health communication","Health behavior is associated with ...","perceived benefits",0.27,NA,NA,15,1949,"Carpenter, 2010",2010
3,"Health communication","Health behavior is associated with ...","perceived barriers",0.3,NA,NA,17,2669,"Carpenter, 2010",2010
4,"Health communication","Health behavior is associated with ...","perceived severity",0.15,NA,NA,17,2629,"Carpenter, 2010",2010
5,"Health communication","Computer-mediated interventions ...","improve HIV/AIDS knowledge",0.14,0.11,0.16,15,6625,"Noar et al., 2010",2010
6,"Health communication","Computer-mediated interventions ...","improve condom/sexual attitudes",0.08,0.05,0.11,12,5816,"Noar et al., 2010",2010
7,"Health communication","Computer-mediated interventions ...","improve quality of life when they include a group support component",0.14,0.07,0.21,14,954,"Rains & Young, 2009",2009
8,"Health communication","Computer-mediated interventions ...","lead to greater improvements in health outcomes when tailored than not tailored",0.07,0.06,0.08,40,NA,"Lustria et al., 2013",2013
9,"Health communication","Media-based health campaigns ...","lead to changes in health behavior",0.09,0.07,0.1,48,168362,"Snyder, 2004",2004
10,"Health communication","Media-based health campaigns ...","promote organ donation",0.05,0.03,0.07,23,6647801,"Feeley et al., 2009",2009
11,"Health communication","Viewing media coverage of ...","Magic Johnson’s HIV-positive announcement is associated with reduced perceptions of vulnerability to HIV",0.02,NA,NA,13,3460,"Casey et al., 2007",2007
12,"Health communication","Viewing media coverage of ...","terrorism is associated with post-traumatic stress",0.15,0.12,0.19,23,2267,"Houston, 2009",2009
13,"Health communication","Condom use intentions and behavior are greater among people who ...","talk about condoms prior to sex",0.16,NA,NA,26,5511,"Allen et al., 2002",2002
14,"Health communication","Condom use intentions and behavior are greater among people who ...","engage in safer sex communication with their partners",0.22,0.2,0.23,55,18529,"Noar et al., 2006",2006
15,"Health communication","Condom use intentions and behavior are greater among people who ...","perceive greater levels of response efficacy",0.09,NA,NA,34,11568,"Casey et al., 2009",2009
16,"Health communication","Condom use intentions and behavior are greater among people who ...","perceive greater levels of self-efficacy",0.22,NA,NA,100,30691,"Casey et al., 2009",2009
17,"Health communication","Viewing media coverage of ...","More acculturated Latinos have a greater likelihood of engaging in behaviors that put them at risk for contracting HIV/AIDS",0.14,NA,NA,10,12719,"Bradford et al., 2002",2002
18,"Health communication","Parental disclosure of HIV increases ...","negative externalizing behavior of children",0.09,0.04,0.17,17,1420,"Tenzek et al., 2013",2013
19,"Health communication","Parental disclosure of HIV increases ...","negative internalizing behavior of children",0.11,0.02,0.2,17,1237,"Tenzek et al., 2013",2013
20,"Health communication","In research on psychosocial problems ...","people with depression report having less social skill than people who are not depressed",0.41,NA,NA,23,2144,"Segrin, 1990",1990
21,"Health communication","In research on psychosocial problems ...","social anxiety is associated with physiological responses",0.36,NA,NA,28,2203,"Patterson & Ritts, 1996",1996
22,"Health communication","In research on psychosocial problems ...","social anxiety is associated with behavioral responses",0.4,NA,NA,120,11205,"Patterson & Ritts, 1996",1996
23,"Health communication","In research on psychosocial problems ...","social anxiety is associated with cognitive responses",0.47,NA,NA,232,27195,"Patterson & Ritts, 1996",1996
24,"Health communication","Driving performance is impaired by (the effects of) ...","text messaging",0.57,0.43,0.71,10,201,"Pascual-Ferra et al., 2012",2012
25,"Health communication","Driving performance is impaired by (the effects of) ...","marijuana",0.27,0.14,0.39,10,243,"Pascual-Ferra et al., 2012",2012
26,"Instructional Communication","Student learning/achievement is associated with ...","teacher clarity",0.36,0.33,0.38,144,73281,"Titsworth et al., 2015; Study 1",2015
27,"Instructional Communication","Student learning/achievement is associated with ...","teacher clarity",0.46,0.4,0.51,37,6612,"Titsworth et al., 2015; Study 2",2015
28,"Instructional Communication","Student learning/achievement is associated with ...","teacher clarity",0.53,0.48,0.58,19,6889,"Titsworth et al., 2015; Study 2",2015
29,"Instructional Communication","Student learning/achievement is associated with ...","teacher use of PowerPoint",0.13,NA,NA,16,1778,"Shapiro et al., 2006",2006
30,"Instructional Communication","Student learning/achievement is associated with ...","teacher immediacy",0.5,NA,NA,81,24474,"Witt et al., 2004",2004
31,"Instructional Communication","Student learning/achievement is associated with ...","oral questioning",0.33,NA,NA,13,2337,"Gayle et al., 2006",2006
32,"Instructional Communication","Student learning/achievement is associated with ...","humor in classroom lectures",0.2,NA,NA,21,4801,"Martin et al., 2006",2006
33,"Instructional Communication","Student learning/achievement is associated with ...","use of conceptual previews",0.23,NA,NA,20,1937,"Priess & Gayle, 2006",2006
34,"Instructional Communication","Student learning/achievement is associated with ...","perceptions of teacher credibility",0.45,NA,NA,51,14378,"Finn et al., 2009",2009
35,"Instructional Communication","Student learning/achievement is associated with ...","lower levels of communication apprehension",0.12,NA,NA,28,10728,"Bourhis & Allen, 1992",1992
36,"Instructional Communication","Student learning/achievement is associated with ...","slower speaking rate of a presenter",0.42,NA,NA,28,3274,"Preiss & Gayle, 2006",2006
37,"Instructional Communication","Compared to traditional forms of instruction ...","computer-assisted instruction in postsecondary education is more effective",0.12,NA,NA,57,6206,"Timmerman & Kruepke, 2006b",2006
38,"Instructional Communication","Compared to traditional forms of instruction ...","students in computer-assisted instruction courses achieve better performance outcomes",0.12,NA,NA,118,12398,"Timmerman & Kruepke, 2006a",2006
39,"Instructional Communication","Compared to traditional forms of instruction ...","distance education students perform better",0.05,NA,NA,54,74275,"Allen et al., 2006",2006
40,"Instructional Communication","Compared to traditional forms of instruction ...","distance education students perform better",0.05,NA,NA,39,71731,"Allen et al., 2004",2004
41,"Instructional Communication","Compared to traditional forms of instruction ...","students prefer distance learning courses less",0.03,NA,NA,25,4702,"Allen et al., 2006",2006
42,"Instructional Communication","Public speaking anxiety is reduced by ...","treatment techniques",0.17,NA,NA,55,1197,"physiological measures; Allen, 1989",1989
43,"Instructional Communication","Public speaking anxiety is reduced by ...","treatment techniques",0.21,NA,NA,123,3251,"observer-rated measures; Allen, 1989",1989
44,"Instructional Communication","Public speaking anxiety is reduced by ...","treatment techniques",0.26,NA,NA,169,5857,"self-report measures; Allen, 1989",1989
45,"Instructional Communication","Public speaking anxiety is reduced by ...","cognitive modification treatments",0.29,NA,NA,20,382,"Allen et al., 1989",1989
46,"Instructional Communication","Public speaking anxiety is reduced by ...","systematic desensitization treatments",0.27,NA,NA,64,1499,"Allen et al., 1989",1989
47,"Instructional Communication","Public speaking anxiety is reduced by ...","skills training treatments",0.16,NA,NA,47,3516,"Allen et al., 1989",1989
48,"Instructional Communication","Critical thinking is improved by ...","communication skills training",0.24,0.19,0.29,10,1526,"Berkowitz, 2006",2006
49,"Instructional Communication","Critical thinking is improved by ...","communication skill exercises",0.18,0.14,0.21,17,2657,"longitudinal studies; Allen et al., 1999",1999
50,"Instructional Communication","Critical thinking is improved by ...","communication skill exercises",0.2,0.16,0.23,13,2395,"cross-sectional studies; Allen et al., 1999",1999
51,"Instructional Communication","Peer mediation programs in schools are associated with ...","decreased disciplinary actions by administrators",0.28,NA,NA,12,4667,"Burrell et al., 2006",2006
52,"Instructional Communication","Peer mediation programs in schools are associated with ...","decreased disciplinary actions by administrators",0.28,NA,NA,12,5313,"Burrell et al., 2014",2014
53,"Instructional Communication","Peer mediation programs in schools are associated with ...","increased knowledge of conflict among students",0.53,NA,NA,14,1138,"Burrell et al., 2006",2006
54,"Instructional Communication","Peer mediation programs in schools are associated with ...","increased knowledge of conflict among students",0.54,NA,NA,17,1499,"Burrell et al., 2014",2014
55,"Instructional Communication","Peer mediation programs in schools are associated with ...","strategies used by peer mediators in managing disputes",0.41,NA,NA,14,1298,"Burrell et al., 2006",2006
56,"Instructional Communication","Peer mediation programs in schools are associated with ...","strategies used by peer mediators in managing disputes",0.41,NA,NA,14,1298,"Burrell et al., 2014",2014
57,"Instructional Communication","Peer mediation programs in schools are associated with ...","Teachers interact more with male than female students",0.09,NA,NA,29,8612,"Jones et al., 2006",2006
58,"Instructional Communication","Peer mediation programs in schools are associated with ...","Day care is more beneficial than family care",0.05,NA,NA,47,7800,"Timmerman, 2006",2006
59,"Instructional Communication","Peer mediation programs in schools are associated with ...","Research productivity is positively associated with teaching quality",0.11,NA,NA,47,65263,"Allen, 2006",2006
60,"Interpersonal Communication","Relative to men, women ...","have higher self-esteem",0.01,NA,NA,124,379217,"Sahlstein & Allen, 2002",2002
61,"Interpersonal Communication","Relative to men, women ...","use less powerful language",0.11,NA,NA,30,3012,"Timmerman, 2002",2002
62,"Interpersonal Communication","Relative to men, women ...","are more likely to use their families for support during divorce",0.17,NA,NA,26,9258,"Burrell, 2002",2002
63,"Interpersonal Communication","Relative to men, women ...","are more likely to use their friends for support during divorce",0.17,NA,NA,13,3177,"Burrell, 2002",2002
64,"Interpersonal Communication","Relative to men, women ...","are more likely to use an avoidant style for nonintimate interpersonal conflict",0.05,NA,NA,31,5155,"Gayle et al., 2002; Study 1",2002
65,"Interpersonal Communication","Relative to men, women ...","are more likely to use an avoidance conflict strategy",0.03,NA,NA,65,22454,"Gayle et al., 2014",2014
66,"Interpersonal Communication","Relative to men, women ...","are less likely to use a competitive style for nonintimate interpersonal conflict",0.15,NA,NA,33,5261,"Gayle et al., 2002; Study 1",2002
67,"Interpersonal Communication","Relative to men, women ...","are less likely to use a competitive conflict strategy",0.09,NA,NA,91,30118,"Gayle et al., 2014",2014
68,"Interpersonal Communication","Relative to men, women ...","are more likely to use a compromising style for nonintimate interpersonal conflict",0.12,NA,NA,34,5283,"Gayle et al., 2002; Study 1",2002
69,"Interpersonal Communication","Relative to men, women ...","are more likely to use a compromising conflict strategy",0.09,NA,NA,68,20345,"Gayle et al., 2014",2014
70,"Interpersonal Communication","Relative to men, women ...","are more likely to use a collaborative style for nonintimate interpersonal conflict",0.04,NA,NA,32,5181,"Gayle et al., 2002; Study 1",2002
71,"Interpersonal Communication","Relative to men, women ...","are more likely to use an accommodation conflict strategy",0.06,NA,NA,63,1779,"Gayle et al., 2014",2014
72,"Interpersonal Communication","Relative to men, women ...","are more likely to use a power strategy in marital conflict",0.12,NA,NA,11,918,"Gayle et al., 2002; Study 2",2002
73,"Interpersonal Communication","Relative to men, women ...","are less likely to perceive that others are being flirtatious during interaction",0.09,0.03,0.15,28,3631,"LaFrance et al., 2009",2009
74,"Interpersonal Communication","In intercultural communication ...","accommodation behaviors are associated with interaction outcomes",0.31,0.3,0.33,76,18382,"Soliz & Giles, 2014",2014
75,"Interpersonal Communication","In intercultural communication ...","people from Western cultures score higher on independent self-construal measures than people from Asian cultures",0.21,0.1,0.32,13,4527,"Levine et al., 2003",2003
76,"Interpersonal Communication","In intercultural communication ...","people from Western cultures score lower on interdependent self-construal measures than people from Asian cultures",0.11,-0.02,0.23,13,4669,"Levine et al., 2003",2003
77,"Interpersonal Communication","In intercultural communication ...","self-esteem is positively associated with perceptions of one’s own racial group",0.14,NA,NA,38,8475,"Allen et al., 1997",1997
78,"Interpersonal Communication","In family communication ...","family communication patterns are associated with information processing, behavioral, and psychosocial outcomes",0.29,NA,NA,56,19745,"Schrodt et al., 2008",2008
79,"Interpersonal Communication","In family communication ...","non-maltreated children display more positivity than maltreated children when interacting with their parents",0.21,0.15,0.26,24,1545,"Wilson et al., 2010",2010
80,"Interpersonal Communication","In family communication ...","maltreated children display more aversive behavior than non-maltreated children when interacting with their parents",0.15,0.08,0.21,29,1868,"Wilson et al., 2010",2010
81,"Interpersonal Communication","In family communication ...","maltreated children display greater involvement than maltreated children when interacting with their parents",0.25,0.12,0.36,22,1136,"Wilson et al., 2010",2010
82,"Interpersonal Communication","In family communication ...","the children of homosexual parents fare better socially than the children of heterosexual parents",0.06,NA,NA,13,619,"adult perspective; Allen & Burrell, 2002",2002
83,"Interpersonal Communication","In family communication ...","the children of homosexual parents fare better socially than the children of heterosexual parents",0.001,NA,NA,15,775,"child perspective; Allen & Burrell, 2002",2002
84,"Interpersonal Communication","In family communication ...","Homophobia interventions reduce homophobia",0.34,NA,NA,11,1883,"Allen et al., 2014",2014
85,"Interpersonal Communication","Communication apprehension ...","when measured as a trait is correlated with state/situational anxiety",0.45,NA,NA,17,NA,"Booth-Butterfield, 1988",1988
86,"Interpersonal Communication","Communication apprehension ...","is associated with reduced quality or quantity of communication behavior",0.22,NA,NA,36,3742,"Allen & Bourhis, 1996",1996
87,"Interpersonal Communication","Communication apprehension ...","in the form of dating anxiety is significantly reduced by interventions",0.34,NA,NA,20,692,"Allen et al., 1998",1998
88,"Interpersonal Communication","In research on mediation ...","participation in victim-offender mediation reduces the likelihood of recidivism",0.17,NA,NA,14,4183,"Mullane et al., 2014",2014
89,"Interpersonal Communication","In research on mediation ...","couples who used divorce mediation were more satisfied with the outcomes than couples who used litigation",0.28,NA,NA,50,4796,"Kwiatkowski, 2014",2014
90,"Interpersonal Communication","In conflict games ...","threatening moves are associated with compliance from other players",0.32,NA,NA,13,793,"Preiss et al., 2014; Study 1",2014
91,"Interpersonal Communication","In conflict games ...","threatening moves are associated with cooperation from other players",0.07,NA,NA,18,1013,"Preiss et al., 2014; Study 1",2014
92,"Interpersonal Communication","In conflict games ...","employing threats reduces joint payoffs",0.29,NA,NA,11,447,"Preiss et al., 2014; Study 1",2014
93,"Interpersonal Communication","In conflict games ...","following through on messages promotes cooperation",0.39,NA,NA,10,505,"Preiss et al., 2014; Study 2",2014
94,"Interpersonal Communication","In conflict games ...","hardline bargaining strategies produce more beneficial outcomes than softline strategies",0.2,NA,NA,34,2559,"Herman & Allen, 2014",2014
95,"Interpersonal Communication","Social or communication skill is associated with ...","increased use of (primarily nonverbal) molecular behavior during interaction",0.31,NA,NA,18,NA,"Spitzberg & Dillard, 2002",2002
96,"Interpersonal Communication","Social or communication skill is associated with ...","decreased likelihood of committing a sexual offense/aggression",0.15,NA,NA,11,2070,"Emmers-Sommer et al., 2004",2004
97,"Interpersonal Communication","Demand/withdrawal patterns in relationships are associated with ...","individual, relational, communicative outcomes",0.36,NA,NA,74,14255,"Schrodt et al., 2014",2014
98,"Interpersonal Communication","Demand/withdrawal patterns in relationships are associated with ...","decreased marital satisfaction",0.32,NA,NA,20,4192,"Burrell et al., 2014",2014
99,"Interpersonal Communication","Demand/withdrawal patterns in relationships are associated with ...","decreased communication satisfaction",0.33,NA,NA,11,2160,"Burrell et al., 2014",2014
100,"Interpersonal Communication","In social interaction or relationships ...","attitude similarity is positively associated with interpersonal attraction",0.51,0.46,0.56,91,10588,"AhYun, 2002",2002
101,"Interpersonal Communication","In social interaction or relationships ...","the motivation to approach arguments is positively associated with verbal aggressiveness",0.16,NA,NA,12,3397,"Hamilton & Mineo, 2002",2002
102,"Interpersonal Communication","In social interaction or relationships ...","extraversion is positively associated with expressive nonverbal behavior",0.13,0.06,0.21,13,1002,"LaFrance et al., 2004",2004
103,"Interpersonal Communication","In social interaction or relationships ...","speaking time is positively associated with dominance",0.51,0.48,0.54,45,2850,"Mast, 2002",2002
104,"Interpersonal Communication","In social interaction or relationships ...","level of person-centeredness is positively associated with beneficial social support outcomes",0.61,0.53,0.7,23,5242,"High & Dillard, 2012",2012
105,"Interpersonal Communication","In social interaction or relationships ...","accounts for violating social norms improve perceptions of the violator",0.2,NA,NA,189,35222,"Benoit et al., 2014",2014
106,"Interpersonal Communication","In social interaction or relationships ...","resting levels of asymmetry in the anterior region of the prefrontal cortex is associated with social interaction variables",0.45,0.34,0.51,14,572,"Pence et al., 2011",2011
107,"Interpersonal Communication","In social interaction or relationships ...","socio-emotional communication in CMC is greater when interaction time is not limited",0.09,NA,NA,21,NA,"Walther et al., 1994",1994
